code,name,wac,city,state,country,globalregion,latitude,longitude
ISG,New Ishigaki,736,Ishigaki,,Japan,Asia,24.3964,124.245
ISH,Harbour,450,Ischia,,Italy,Europe,40.6333,13.8333
ISI,Isisford Airport,802,Isisford,Queensland,Australia,Australasia,-24.2633,144.4233
ISJ,Isla Mujeres Airport,148,Isla Mujeres,,Mexico,North America,21.2667,-86.75
ISK,Ozar,733,Nasik,,India,Asia,27.1192,73.9131
ISL,Isabel Pass Airport,1,Isabel Pass,Alaska,United States,North America,63.5,-145.0006
ISM,Kissimmee Municipal Airport,33,Kissimmee,Florida,United States,North America,28.45,-81.3333
ISN,Sloulin Field Intl,66,Williston,North Dakota,United States,North America,48.1761,-103.6361
ISO,Stallings Field,36,Kinston,North Carolina,United States,North America,35.3267,-77.6167
ISP,Long Islnd Macarthur,22,Long Island-Macarthur,New York,United States,North America,40.7967,-73.1008
ISQ,Schoolcraft County Airport,43,Manistique,Michigan,United States,North America,45.95,-86.25
ISR,Salerno Railway Station,450,Salerno,,Italy,Europe,40.6753,14.7722
ISS,Wiscasset,12,Wiscasset,Maine,United States,North America,43.9633,-69.7122
IST,Ataturk,679,Istanbul,,Turkey,Europe,40.9767,28.8153
ISU,Sulaymaniyah Airport,634,Sulaymaniyah,,Iraq,Middle East,35.5608,45.3147
ISW,South Wood County,45,Wisconsin Rapids,Wisconsin,United States,North America,44.3603,-89.8389
ITA,Itacoatiara,316,Itacoatiara,Amazonas,Brazil,South America,-3.2,-58.5
ITB,Itaituba,316,Itaituba,Para,Brazil,South America,-4.2667,-55.9833
ITE,Itubera Airport,316,Itubera,Bahia,Brazil,South America,-13.7,-39.2
ITH,Tompkins County,22,Ithaca,New York,United States,North America,42.4903,-76.4581
ITI,Fazenda Americana,316,Itambacuri,Minas Gerais,Brazil,South America,-18.0167,-41.7
ITJ,Off-Line Point,316,Itajai,Santa Catarina,Brazil,South America,-26.8667,-48.6333
ITK,Itokama,804,Itokama,,Papua New Guinea,Australasia,-9.5167,147.3
ITM,Osaka Intl (Itami),736,Osaka-Itami,,Japan,Asia,34.7806,135.4417
ITN,Itabuna,316,Itabuna,Bahia,Brazil,South America,-14.8,-39.3
ITO,Hilo International,2,Hilo/Hawaii,Hawaii,United States,North America,19.7236,-155.0581
ITP,Itaperuna Airport,316,Itaperuna,Rio de Janeiro,Brazil,South America,-21.2189,-41.875
ITQ,Itaqui,316,Itaqui,Rio Grande do Sul,Brazil,South America,-29.1292,-56.57
ITR,F.Vilela do Amaral,316,Itumbiara,Goias,Brazil,South America,-18.445,-49.2142
ITT,Porta Sus Railway Station,450,Turin,,Italy,Europe,45.0725,7.6658
ITU,Iturup Island,475,Iturup Island,Far East Federal District,Russian Federation,Asia,45.2564,147.9558
ITY,Iturup,475,Iturup Island,Far East Federal District,Russian Federation,Asia,45.2564,147.9558
